File,Method,PSNR_dB,BER,NC,SNR_dB
test_file_1.wav,Randomized LSB,95.69956763862751,3.894614091437582e-07,0.9999999885452981,76.39986
test_file_1.wav,ML-guided LSB,95.8926246909988,4.3140340705154755e-07,0.9999999890433502,76.59291
test_file_11.wav,Randomized LSB,91.59429224556062,2.054799524625935e-06,0.9999998769418661,66.08858
test_file_11.wav,ML-guided LSB,92.0858477905885,1.8772242570656692e-06,0.9999998901104465,66.58013
test_file_14.wav,Randomized LSB,97.1653355815986,2.102322048611111e-07,0.9999999930227871,78.55288
test_file_14.wav,ML-guided LSB,98.56872834431437,1.7632378472222221e-07,0.9999999949494003,79.95627
test_file_16.wav,Randomized LSB,90.99407975819278,7.3480071173398526e-06,0.9999989698659213,56.860764
test_file_16.wav,ML-guided LSB,92.01226145754931,1.332094857529447e-06,0.9999991851577741,57.878944
test_file_20.wav,Randomized LSB,93.27829679244604,8.891135070380353e-07,0.9999999850882922,75.25442
test_file_20.wav,ML-guided LSB,93.9276635934152,1.370438112351859e-06,0.9999999871592246,75.903786
test_file_21.wav,Randomized LSB,96.08395443339178,5.045438689740998e-07,0.9999999590391488,70.866005
test_file_21.wav,ML-guided LSB,95.6574393179668,5.310988094464209e-07,0.9999999548122639,70.43949
test_file_24.wav,Randomized LSB,95.58554556401316,5.80276268115942e-07,0.9999998648053515,65.68121
test_file_24.wav,ML-guided LSB,95.37358170371999,4.104393115942029e-07,0.9999998580431281,65.469246
test_file_27.wav,Randomized LSB,93.86989404777013,6.510416666666666e-07,0.9999999878989789,76.16148
test_file_27.wav,ML-guided LSB,92.25740116703994,1.0815692204301075e-06,0.9999999824583227,74.54898
test_file_30.wav,Randomized LSB,92.84795073315914,9.427133948817622e-07,0.9999999795729001,73.88763
test_file_30.wav,ML-guided LSB,95.27828033656795,1.0186366213151927e-06,0.9999999883272287,76.31796
test_file_9.wav,Randomized LSB,95.69956763862751,3.894614091437582e-07,0.9999999885452981,76.39986
test_file_9.wav,ML-guided LSB,95.8926246909988,4.3140340705154755e-07,0.9999999890433502,76.59291
